campaign	category	step	mean_loss	mean_auc	mean_anlp	x	embedding_dim	batch_size	state_size	lr	anlp_lr	l2_norm	alpha	beta
2997	TRAIN	9900	0.260798	0.9506	1.2413	0.5612	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	10000	0.213909	0.9659	1.0816	0.4730	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	10100	0.193821	0.9635	1.0924	0.4511	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	10200	0.215782	0.9650	1.1034	0.4796	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	10300	0.220696	0.9612	1.1384	0.4925	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	10400	0.217823	0.9593	1.1430	0.4900	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	10500	0.236687	0.9524	1.1610	0.5162	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	10600	0.221720	0.9636	1.1129	0.4887	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	10700	0.189241	0.9620	1.0292	0.4329	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	10800	0.198359	0.9604	1.0858	0.4552	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	10900	0.193769	0.9601	1.0989	0.4523	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	11000	0.236129	0.9572	1.1226	0.5079	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	11100	0.242354	0.9460	1.1444	0.5197	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	11200	0.232234	0.9586	1.0528	0.4892	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	11300	0.218138	0.9643	1.0329	0.4683	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	11400	0.222123	0.9627	1.0632	0.4792	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	11500	0.235444	0.9545	1.1269	0.5079	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	11600	0.235654	0.9581	1.1223	0.5072	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	11700	0.246413	0.9547	1.1312	0.5219	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	11800	0.237679	0.9570	1.1352	0.5123	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	11900	0.202890	0.9669	1.0191	0.4473	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	12000	0.189286	0.9687	1.0246	0.4321	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TEST	12000	0.388225	0.9015	7.8440	2.0347	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	12100	0.210494	0.9664	1.0655	0.4657	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	12200	0.211169	0.9657	1.1129	0.4760	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	12300	0.203120	0.9629	1.0892	0.4616	32	128	128	0.001000	0.001000	0.001	1.2	0.2
